,location,total_sqft,bath,price,bhk
0, Devarabeesana Halli,1672.0,3.0,150.0,3
1, Devarabeesana Halli,1750.0,3.0,149.0,3
2, Devarabeesana Halli,1750.0,3.0,150.0,3
3, Devarachikkanahalli,1250.0,2.0,44.0,3
4, Devarachikkanahalli,1250.0,2.0,40.0,2
5, Devarachikkanahalli,1200.0,2.0,83.0,2
6, Devarachikkanahalli,1170.0,2.0,40.0,2
7, Devarachikkanahalli,1425.0,2.0,65.0,3
8, Devarachikkanahalli,947.0,2.0,43.0,2
9, Devarachikkanahalli,1130.0,2.0,36.0,2
10, Devarachikkanahalli,1417.0,2.0,76.0,3
11, Devarachikkanahalli,1230.0,2.0,58.0,2
12, Devarachikkanahalli,1705.0,3.0,75.0,3
13, Devarachikkanahalli,1116.0,2.0,47.0,2
14, Devarachikkanahalli,991.0,2.0,40.0,2
15, Devarachikkanahalli,1700.0,3.0,71.0,3
16, Electronic City,550.0,1.0,27.0,1
17, Mysore Highway,1450.0,2.0,70.0,3
18, Mysore Highway,700.0,1.0,25.5,1
19, Rachenahalli,440.0,1.0,28.0,1
20, Thanisandra,510.0,1.0,25.25,1
21, Thanisandra,510.0,1.0,25.25,1
22, south,2400.0,2.0,480.0,3
23,1st Block BEL Layout,1540.0,3.0,85.0,3
24,1st Block HBR Layout,600.0,1.0,45.0,1
25,1st Block HBR Layout,3150.0,4.0,150.0,4
26,1st Block HRBR Layout,1200.0,7.0,235.0,8
27,1st Block HRBR Layout,2400.0,7.0,355.0,7
28,1st Block HRBR Layout,600.0,3.0,90.0,3
29,1st Block HRBR Layout,600.0,3.0,125.0,3
30,1st Block HRBR Layout,600.0,4.0,125.0,3
31,1st Block Jayanagar,2850.0,4.0,428.0,4
32,1st Block Jayanagar,1630.0,3.0,194.0,3
33,1st Block Jayanagar,1200.0,6.0,125.0,6
34,1st Block Jayanagar,1875.0,2.0,235.0,3
35,1st Block Jayanagar,930.0,4.0,85.0,7
36,1st Block Jayanagar,700.0,4.0,104.0,8
37,1st Block Jayanagar,1200.0,2.0,130.0,3
38,1st Block Jayanagar,1235.0,2.0,148.0,2
39,1st Block Jayanagar,2750.0,4.0,413.0,4
40,1st Block Jayanagar,2450.0,4.0,368.0,4
41,1st Block Koramangala,1415.0,2.0,110.0,2
42,1st Block Koramangala,860.0,2.0,65.5,2
43,1st Block Koramangala,3000.0,3.0,300.0,4
44,1st Block Koramangala,2350.0,3.0,210.0,3
45,1st Block Koramangala,3000.0,5.0,500.0,4
46,1st Phase JP Nagar,2825.0,4.0,250.0,4
47,1st Phase JP Nagar,1875.0,3.0,167.0,3
48,1st Phase JP Nagar,1500.0,5.0,85.0,5
49,1st Phase JP Nagar,2065.0,4.0,210.0,3
50,1st Phase JP Nagar,2024.0,3.0,157.0,3
51,1st Phase JP Nagar,2059.0,3.0,225.0,3
52,1st Phase JP Nagar,1394.0,2.0,100.0,2
53,1st Phase JP Nagar,1077.0,2.0,93.0,2
54,1st Phase JP Nagar,1566.0,2.0,180.0,2
55,1st Phase JP Nagar,840.0,2.0,50.0,1
56,1st Phase JP Nagar,1590.0,3.0,131.0,3
57,1st Phase JP Nagar,2180.0,3.0,210.0,3
58,1st Phase JP Nagar,1180.0,2.0,88.5,2
59,1st Phase JP Nagar,1200.0,2.0,86.0,2
60,1st Phase JP Nagar,1394.0,2.0,85.0,2
61,1st Phase JP Nagar,2077.0,3.0,175.0,3
62,1st Phase JP Nagar,4550.0,2.0,240.0,4
63,1st Phase JP Nagar,1205.0,2.0,85.0,2
64,1st Phase JP Nagar,2615.0,5.0,222.0,4
65,1st Phase JP Nagar,900.0,2.0,75.0,2
66,1st Stage Indira Nagar,1400.0,2.0,67.0,2
67,1st Stage Indira Nagar,1200.0,2.0,55.0,2
